pid,name,party,district,status,wiki_url,tw（現在）,hp（現在）,X（入力）,個人HP（入力）
P001,逢沢 一郎,自民党,岡山1,現職,https://ja.wikipedia.org/wiki/%E9%80%A2%E6%B2%A2%E4%B8%80%E9%83%8E,https://x.com/ichiroaisawa,,,
P002,青木 ひとみ,参政党,比例・北関東,現職,https://ja.wikipedia.org/wiki/青木ひとみ,,,,
P003,青柳 仁士,日本維新の会,大阪14,現職,https://ja.wikipedia.org/wiki/%E9%9D%92%E6%9F%B3%E4%BB%81%E5%A3%AB,https://x.com/aoyagi_h,,,
P004,青山 繁晴,自民党,兵庫8,現職,https://ja.wikipedia.org/wiki/%E9%9D%92%E5%B1%B1%E7%B9%81%E6%99%B4,https://x.com/aoyamashigeharu,,,
P005,青山 周平,自民党,愛知12,現職,https://ja.wikipedia.org/wiki/%E9%9D%92%E5%B1%B1%E5%91%A8%E5%B9%B3_(%E6%94%BF%E6%B2%BB%E5%AE%B6),https://x.com/ao_shu_office,,,
P006,赤澤 亮正,自民党,鳥取2,現職,https://ja.wikipedia.org/wiki/%E8%B5%A4%E6%B2%A2%E4%BA%AE%E6%AD%A3,https://x.com/ryosei_akazawa,,,
P007,赤羽 一嘉,中道改革連合,比例・近畿,現職,https://ja.wikipedia.org/wiki/%E8%B5%A4%E7%BE%BD%E4%B8%80%E5%98%89,https://x.com/AKBhyogo2ku,,,
P008,あかま 二郎,自民党,神奈川14,現職,https://ja.wikipedia.org/wiki/%E8%B5%A4%E9%96%93%E4%BA%8C%E9%83%8E,https://x.com/tayosei_hosetsu,,,
P009,秋葉 賢也,自民党,比例・東北,現職,https://ja.wikipedia.org/wiki/%E7%A7%8B%E8%91%89%E8%B3%A2%E4%B9%9F,https://x.com/akibakenya,,,
P010,浅田 眞澄美,自民党,比例・九州,現職,https://ja.wikipedia.org/wiki/浅田眞澄美,,,,
P011,浅野 哲,国民民主党,茨城5,現職,https://ja.wikipedia.org/wiki/%E6%B5%85%E9%87%8E%E5%93%B2,https://x.com/asano__satoshi,,,
P012,東 国幹,自民党,北海道6,現職,https://ja.wikipedia.org/wiki/%E6%9D%B1%E5%9B%BD%E5%B9%B9,https://x.com/azuma0217,,,
P013,東 徹,日本維新の会,大阪3,現職,https://ja.wikipedia.org/wiki/%E6%9D%B1%E5%BE%B9_(%E6%94%BF%E6%B2%BB%E5%AE%B6),https://x.com/toru_azuma,,,
P014,畦元 将吾,自民党,東京6,現職,https://ja.wikipedia.org/wiki/%E7%95%A6%E5%85%83%E5%B0%86%E5%90%BE,,,,
P015,麻生 太郎,自民党,福岡8,現職,https://ja.wikipedia.org/wiki/%E9%BA%BB%E7%94%9F%E5%A4%AA%E9%83%8E,https://x.com/Aso_Tarou,,,
P016,阿部 圭史,日本維新の会,兵庫2,現職,https://ja.wikipedia.org/wiki/阿部圭史,,,,
P017,阿部 司,日本維新の会,比例・東京,現職,https://ja.wikipedia.org/wiki/%E9%98%BF%E9%83%A8%E5%8F%B8,https://x.com/abe2kasa,,,
P018,あべ 俊子,自民党,比例・中国,現職,https://ja.wikipedia.org/wiki/%E9%98%BF%E9%83%A8%E4%BF%8A%E5%AD%90,https://x.com/abetoshiko,,,
P019,阿部 弘樹,自民党,比例・九州,現職,https://ja.wikipedia.org/wiki/%E9%98%BF%E9%83%A8%E5%BC%98%E6%A8%B9,https://x.com/HirokiAbe1961,,,
P020,有田 芳生,中道改革連合,比例・東北,現職,https://ja.wikipedia.org/wiki/%E6%9C%89%E7%94%B0%E8%8A%B3%E7%94%9F,https://x.com/aritayoshifu,,,
P021,安藤 たかお,自民党,東京28,現職,https://share.google/VFlanEmTZbCTfw51U,https://x.com/AndoTakao1959,,,
P022,飯泉 嘉門,国民民主党,比例・四国,現職,https://ja.wikipedia.org/wiki/%E9%A3%AF%E6%B3%89%E5%98%89%E9%96%80,https://x.com/iizumik_comeon,,,
P023,五十嵐 清,自民党,栃木2,現職,https://share.google/yM9yw6pUVPliR5LwR,https://x.com/igakiyo1969,,,
P024,池下 卓,日本維新の会,大阪10,現職,https://share.google/X1Nen5V2auVR8PIjp,https://x.com/iketaku_0410,,,
P025,池畑 浩太朗,日本維新の会,比例・近畿,現職,https://ja.wikipedia.org/wiki/%E6%B1%A0%E7%95%91%E6%B5%A9%E5%A4%AA%E6%9C%97,https://x.com/VGZ20ydBf5ouj4c,,,
P026,伊佐 進一,中道改革連合,比例・近畿,現職,https://share.google/jjYP0v8IfTBsrtkLl,https://x.com/isashinichi,,,
P027,石井 啓一,無所属,比例・北関東,現職,https://share.google/JNaaID3EvC2wayQlg,https://x.com/keiichi_ishii_,,,
P028,石井 拓,自民党,愛知13,現職,https://share.google/fbVvhv1TjFfq7Uyq4,https://x.com/takuishii,,,
P029,石川 昭政,自民党,比例・北関東,現職,https://share.google/9pxuKh2X47lo8PvWT,https://x.com/iakimasa1,,,
P030,石川 勝,参政党,比例・近畿,現職,https://ja.wikipedia.org/wiki/石川勝,,,,
P031,石坂 太,自民党,栃木4,現職,https://ja.wikipedia.org/wiki/石坂太,,,,
P032,石田 真敏,自民党,比例・近畿,現職,https://share.google/whsaM5Qug8XeBVcVS,https://x.com/ishidamasatoshi,,,
P033,石破 茂,自民党,鳥取1,現職,https://share.google/edVZW03Nr4n7VgT63,https://x.com/shigeruishiba,,,
P035,石原 宏高,自民党,東京3,現職,https://share.google/LirvVYD5F07QU3RtF,https://x.com/ishiharahirotak,,,
P037,泉 健太,中道改革連合,京都3,現職,https://share.google/INsn5euLC8DMERRie,https://x.com/izmkenta,,,
P039,市村 浩一郎,日本維新の会,比例・近畿,現職,https://share.google/4YTPNETkVX5mrWOJM,https://x.com/ichimura_staff,,,
P040,井出 庸生,自民党,長野3,現職,https://share.google/nsC7dxwNKtmLg7C44,https://x.com/yousei_ide,,,
P042,伊藤 恵介,参政党,比例・東海,現職,https://ja.wikipedia.org/wiki/伊藤恵介,,,,
P043,伊藤 聡,自民党,比例・南関東,現職,https://ja.wikipedia.org/wiki/伊藤聡,,,,
P044,伊藤 信太郎,自民党,比例・東北,現職,https://ja.wikipedia.org/wiki/%E4%BC%8A%E8%97%A4%E4%BF%A1%E5%A4%AA%E9%83%8E,https://x.com/ShintaroIto1121,,,
P045,伊藤 忠彦,自民党,愛知8,現職,https://ja.wikipedia.org/wiki/%E4%BC%8A%E8%97%A4%E4%BF%A1%E5%A4%AA%E9%83%8E,https://x.com/tadahiko_itoh,,,
P046,伊藤 達也,自民党,東京22,現職,https://ja.wikipedia.org/wiki/%E4%BC%8A%E8%97%A4%E9%81%94%E4%B9%9F,https://x.com/tatsuyaito0501,,,
P047,伊東 信久,日本維新の会,比例・近畿,現職,https://ja.wikipedia.org/wiki/%E4%BC%8A%E6%9D%B1%E4%BF%A1%E4%B9%85,https://x.com/nobuhisaito11,,,
P048,伊東 良孝,自民党,比例・北海道,現職,https://ja.wikipedia.org/wiki/%E4%BC%8A%E6%9D%B1%E8%89%AF%E5%AD%9D,https://x.com/kouhou_sousei,,,
P049,稲田 朋美,自民党,福井1,現職,https://ja.wikipedia.org/wiki/%E7%A8%B2%E7%94%B0%E6%9C%8B%E7%BE%8E,https://x.com/dento_to_souzo,,,
P050,稲葉 大輔,自民党,静岡8,現職,https://ja.wikipedia.org/wiki/稲葉大輔,,,,
P052,井野 俊郎,自民党,群馬2,現職,https://ja.wikipedia.org/wiki/%E4%BA%95%E9%87%8E%E4%BF%8A%E9%83%8E,,,,
P053,井上 信治,自民党,東京25,現職,https://ja.wikipedia.org/wiki/%E4%BA%95%E4%B8%8A%E4%BF%A1%E6%B2%BB,,,,
P054,井上 貴博,自民党,福岡1,現職,https://ja.wikipedia.org/wiki/%E4%BA%95%E4%B8%8A%E8%B2%B4%E5%8D%9A_(%E6%94%BF%E6%B2%BB%E5%AE%B6),,,,
P055,井上 英孝,日本維新の会,大阪1,現職,https://ja.wikipedia.org/wiki/%E4%BA%95%E4%B8%8A%E8%8B%B1%E5%AD%9D,https://x.com/HIDETAKAINOUE,,,
P056,井林 辰憲,自民党,静岡2,現職,https://ja.wikipedia.org/wiki/%E4%BA%95%E6%9E%97%E8%BE%B0%E6%86%B2,https://x.com/T_Ibayashi,,,
P057,井原 巧,自民党,愛媛2,現職,https://ja.wikipedia.org/wiki/%E4%BA%95%E5%8E%9F%E5%B7%A7,https://x.com/takumi_ihara,,,
P058,井原 隆,自民党,埼玉5,現職,https://ja.wikipedia.org/wiki/井原隆,,,,
P059,今枝 宗一郎,自民党,愛知14,現職,https://ja.wikipedia.org/wiki/%E4%BB%8A%E6%9E%9D%E5%AE%97%E4%B8%80%E9%83%8E,https://x.com/imaeda_soichiro,,,
P060,今岡 植,自民党,東京26,現職,https://ja.wikipedia.org/wiki/今岡植,,,,
P061,岩崎 比菜,自民党,比例・南関東,現職,https://ja.wikipedia.org/wiki/岩崎比菜,,,,
P062,岩田 和親,自民党,佐賀1,現職,https://ja.wikipedia.org/wiki/%E5%B2%A9%E7%94%B0%E5%92%8C%E8%A6%AA,https://x.com/Kazuchika_Iwata,,,
P063,岩谷 良平,日本維新の会,大阪13,現職,https://ja.wikipedia.org/wiki/%E5%B2%A9%E8%B0%B7%E8%89%AF%E5%B9%B3,https://x.com/Iwatani_Ryohei,,,
P064,岩屋 毅,自民党,大分3,現職,https://ja.wikipedia.org/wiki/%E5%B2%A9%E5%B1%8B%E6%AF%85,,,,
P065,上杉 謙太郎,自民党,福島3,現職,https://ja.wikipedia.org/wiki/%E4%B8%8A%E6%9D%89%E8%AC%99%E5%A4%AA%E9%83%8E,https://x.com/uesugi_jimusyo,,,
P067,上野 賢一郎,自民党,滋賀2,現職,https://ja.wikipedia.org/wiki/%E4%B8%8A%E9%87%8E%E8%B3%A2%E4%B8%80%E9%83%8E,https://x.com/Ueno_Kenichiro,,,
P068,上野 宏史,自民党,比例・九州,現職,https://ja.wikipedia.org/wiki/%E4%B8%8A%E9%87%8E%E5%AE%8F%E5%8F%B2,https://x.com/ueno_hiroshi,,,
P069,上原 正裕,自民党,神奈川9,現職,https://ja.wikipedia.org/wiki/上原正裕,,,,
P070,浮島 智子,中道改革連合,比例・北海道,現職,https://ja.wikipedia.org/wiki/%E6%B5%AE%E5%B3%B6%E3%81%A8%E3%82%82%E5%AD%90,https://x.com/Tomo_Ukishima,,,
P073,内山 こう,自民党,新潟1,現職,https://ja.wikipedia.org/wiki/内山こう,,,,
P074,梅村 聡,日本維新の会,大阪5,現職,https://ja.wikipedia.org/wiki/%E6%A2%85%E6%9D%91%E8%81%A1,https://x.com/umemura_ishin,,,
P075,浦野 靖人,日本維新の会,大阪15,現職,https://ja.wikipedia.org/wiki/%E6%B5%A6%E9%87%8E%E9%9D%96%E4%BA%BA,https://x.com/uranoyasuto,,,
P076,うるま 譲司,日本維新の会,大阪8,現職,https://ja.wikipedia.org/wiki/%E6%BC%86%E9%96%93%E8%AD%B2%E5%8F%B8,https://x.com/urumageorge,,,
P077,江渡 聡徳,自民党,比例・東北,現職,https://ja.wikipedia.org/wiki/%E6%B1%9F%E6%B8%A1%E8%81%A1%E5%BE%B3,https://x.com/ETO_Akinori,,,
P078,江藤 拓,自民党,比例・九州,現職,https://ja.wikipedia.org/wiki/%E6%B1%9F%E8%97%A4%E6%8B%93,https://x.com/etoh_taku,,,
P079,衛藤 博昭,自民党,大分1,現職,https://ja.wikipedia.org/wiki/衛藤博昭,,,,
P080,英利アルフィヤ,自民党,千葉5,現職,https://ja.wikipedia.org/wiki/%E8%8B%B1%E5%88%A9%E3%82%A2%E3%83%AB%E3%83%95%E3%82%A3%E3%83%A4,https://x.com/eri_arfiya,,,
P081,遠藤 敬,日本維新の会,大阪18,現職,https://ja.wikipedia.org/wiki/%E9%81%A0%E8%97%A4%E6%95%AC,,,,
P082,遠藤 寛明,自民党,山形1,現職,https://ja.wikipedia.org/wiki/%E9%81%A0%E8%97%A4%E5%AF%9B%E6%98%8E,https://x.com/endohiroaki1121,,,
P083,大岡 敏孝,自民党,滋賀1,現職,https://ja.wikipedia.org/wiki/%E5%A4%A7%E5%B2%A1%E6%95%8F%E5%AD%9D,https://x.com/OookaToshitaka,,,
P084,大串 正樹,自民党,兵庫6,現職,https://ja.wikipedia.org/wiki/%E5%A4%A7%E4%B8%B2%E6%AD%A3%E6%A8%B9,https://x.com/Ogushi_Masaki,,,
P085,大島 敦,中道改革連合,比例・北関東,現職,https://ja.wikipedia.org/wiki/大島敦,,,,
P086,大空 幸星,自民党,東京15,現職,https://ja.wikipedia.org/wiki/%E5%A4%A7%E7%A9%BA%E5%B9%B8%E6%98%9F,https://x.com/ozorakoki,,,
P087,大塚 拓,自民党,埼玉9,現職,https://ja.wikipedia.org/wiki/大塚拓,https://x.com/otsukataku,,,
P088,大西 洋平,自民党,東京16,現職,https://ja.wikipedia.org/wiki/大西洋平,,,,
P089,大野 敬太郎,自民党,香川3,現職,https://ja.wikipedia.org/wiki/大野敬太郎,https://x.com/keitaro_ohno,,,
P090,大森 江里子,中道改革連合,比例・東京,現職,https://ja.wikipedia.org/wiki/大森江里子,,,,
P091,緒方 林太郎,無所属,福岡9,現職,https://ja.wikipedia.org/wiki/緒方林太郎,,,,
P092,岡野 純子,国民民主党,比例・南関東,現職,https://ja.wikipedia.org/wiki/岡野純子,,,,
P093,岡本 三成,中道改革連合,比例・東京,現職,https://ja.wikipedia.org/wiki/岡本三成,https://x.com/okamoto3nari,,,
P094,岡本 康宏,自民党,愛知5,現職,https://ja.wikipedia.org/wiki/岡本康宏,,,,
P095,小川 淳也,中道改革連合,香川1,現職,https://ja.wikipedia.org/wiki/小川淳也,https://x.com/junyaog,,,
P096,奥下 剛光,日本維新の会,大阪7,現職,https://ja.wikipedia.org/wiki/奥下剛光,https://x.com/okutake10,,,
P097,尾崎 正直,自民党,高知2,現職,https://ja.wikipedia.org/wiki/%E5%B0%BE%EF%A8%91%E6%AD%A3%E7%9B%B4,https://x.com/masaozaki,,,
P098,長田 紘一郎,自民党,比例・東海,現職,https://ja.wikipedia.org/wiki/長田紘一郎,,,,
P099,小里 泰弘,自民党,比例・九州,現職,https://ja.wikipedia.org/wiki/%E5%B0%8F%E9%87%8C%E6%B3%B0%E5%BC%98,https://x.com/ozato_yasuhiro,,,
P100,小竹 凱,国民民主党,比例・北陸信越,現職,https://ja.wikipedia.org/wiki/小竹凱,,,,
P101,小田原 潔,自民党,東京21,現職,https://ja.wikipedia.org/wiki/%E5%B0%8F%E7%94%B0%E5%8E%9F%E6%BD%94,https://x.com/odawarakiyoshi,,,
P102,落合 貴之,中道改革連合,比例・東京,現職,https://ja.wikipedia.org/wiki/%E8%90%BD%E5%90%88%E8%B2%B4%E4%B9%8B,https://x.com/kharaguchi,,,
P103,鬼木 誠,自民党,福岡2,現職,https://ja.wikipedia.org/wiki/鬼木誠,https://x.com/onikidon,,,
P104,小野寺 五典,自民党,宮城5,現職,https://ja.wikipedia.org/wiki/小野寺五典,https://x.com/itsunori510,,,
P105,尾花 瑛仁,自民党,埼玉6,現職,https://ja.wikipedia.org/wiki/尾花瑛仁,,,,
P106,小渕 優子,自民党,群馬5,現職,https://ja.wikipedia.org/wiki/小渕優子,,,,
P107,尾身 朝子,自民党,比例・北関東,現職,https://ja.wikipedia.org/wiki/尾身朝子,https://x.com/asako_omi,,,
P108,河西 宏一,中道改革連合,比例・東京,現職,https://ja.wikipedia.org/wiki/河西宏一,https://x.com/kasai_koichi,,,
P109,鹿嶋 祐介,自民党,千葉4,現職,https://ja.wikipedia.org/wiki/鹿嶋祐介,,,,
P110,梶山 弘志,自民党,茨城4,現職,https://ja.wikipedia.org/wiki/梶山弘志,https://x.com/kajiyamahiroshi,,,
P111,柏倉 祐司,日本維新の会,比例・北関東,現職,https://ja.wikipedia.org/wiki/柏倉祐司,https://x.com/Kashiwakura_Y,,,
P112,勝俣 孝明,自民党,静岡6,現職,https://ja.wikipedia.org/wiki/勝俣孝明,https://x.com/takaaki_katsu,,,
P113,勝目 康,自民党,京都1,現職,https://ja.wikipedia.org/wiki/勝目康,https://x.com/KatsumeYasushi,,,
P114,門 寛子,自民党,東京8,現職,https://ja.wikipedia.org/wiki/門寛子,,,,
P115,加藤 鮎子,自民党,山形3,現職,https://ja.wikipedia.org/wiki/加藤鮎子,https://x.com/katoayuko_and_s,,,
P116,加藤 勝信,自民党,岡山3,現職,https://ja.wikipedia.org/wiki/加藤勝信,https://x.com/KatsunobuKato1,,,
P117,加藤 貴弘,自民党,北海道1,現職,https://ja.wikipedia.org/wiki/加藤貴弘,,,,
P118,加藤 大博,自民党,岐阜4,現職,https://ja.wikipedia.org/wiki/加藤大博,,,,
P119,加藤 竜祥,自民党,長崎2,現職,https://ja.wikipedia.org/wiki/加藤竜祥,https://x.com/Katoryusho,,,
P120,門山 宏哲,自民党,千葉1,現職,https://ja.wikipedia.org/wiki/門山宏哲,https://x.com/kado_support,,,
P121,金澤 結衣,自民党,神奈川20,現職,https://ja.wikipedia.org/wiki/金澤結衣,,,,
P122,金子 恵美,中道改革連合,比例・東北,現職,https://ja.wikipedia.org/wiki/金子恵美,https://x.com/kanekomegumioff,,,
P123,金子 恭之,自民党,熊本4,現職,https://ja.wikipedia.org/wiki/金子恭之,https://x.com/nekotanchan,,,
P124,金子 容三,自民党,長崎3,現職,https://ja.wikipedia.org/wiki/金子容三,,,,
P125,金村 龍那,日本維新の会,比例・南関東,現職,https://ja.wikipedia.org/wiki/金村龍那,https://x.com/kanemura_you,,,
P126,上川 陽子,自民党,静岡1,現職,https://ja.wikipedia.org/wiki/%E4%B8%8A%E5%B7%9D%E9%99%BD%E5%AD%90,https://x.com/Kamikawa_Yoko,,,
P127,神谷 裕,中道改革連合,北海道10,現職,https://ja.wikipedia.org/wiki/%E7%A5%9E%E8%B0%B7%E8%A3%95,https://x.com/kamiyahokkaido,,,
P128,川 裕一郎,参政党,比例・北陸信越,現職,https://ja.wikipedia.org/wiki/川裕一郎,,,,
P129,河井 昭成,国民民主党,比例・近畿,現職,https://ja.wikipedia.org/wiki/河井昭成,,,,
P130,河合 道雄,チームみらい,比例・南関東,現職,https://ja.wikipedia.org/wiki/河合道雄,,,,
P131,川崎 ひでと,自民党,三重2,現職,https://ja.wikipedia.org/wiki/%E5%B7%9D%E5%B4%8E%E7%A7%80%E4%BA%BA,https://x.com/kawasaki_hideto,,,
P132,河野 正美,自民党,比例・九州,現職,https://ja.wikipedia.org/wiki/%E6%B2%B3%E9%87%8E%E6%AD%A3%E7%BE%8E,https://x.com/mkawano2416,,,
P133,河野 義博,中道改革連合,比例・九州,現職,https://ja.wikipedia.org/wiki/河野義博,,,,
P134,川松 真一朗,自民党,東京23,現職,https://ja.wikipedia.org/wiki/川松真一朗,,,,
P135,河村 たかし,無所属,愛知1,現職,https://ja.wikipedia.org/wiki/%E6%B2%B3%E6%9D%91%E3%81%9F%E3%81%8B%E3%81%97,https://x.com/kawamura758,,,
P136,菅家 一郎,自民党,比例・東北,現職,https://ja.wikipedia.org/wiki/%E8%8F%85%E5%AE%B6%E4%B8%80%E9%83%8E,https://x.com/kanke_ichirou,,,
P137,神田 潤一,自民党,青森2,現職,https://ja.wikipedia.org/wiki/%E7%A5%9E%E7%94%B0%E6%BD%A4%E4%B8%80,https://x.com/Jun1CanDo,,,
P138,城内 実,自民党,静岡7,現職,https://ja.wikipedia.org/wiki/%E5%9F%8E%E5%86%85%E5%AE%9F,https://x.com/minoru_kiuchi,,,
P139,黄川田 仁志,自民党,埼玉3,現職,https://ja.wikipedia.org/wiki/%E9%BB%84%E5%B7%9D%E7%94%B0%E4%BB%81%E5%BF%97,https://x.com/kikawadahitoshi,,,
P140,菊田 真紀子,中道改革連合,比例・北陸信越,現職,https://ja.wikipedia.org/wiki/%E8%8F%8A%E7%94%B0%E7%9C%9F%E7%B4%80%E5%AD%90,https://x.com/kikuta_official,,,
P141,岸 信千世,自民党,山口2,現職,https://ja.wikipedia.org/wiki/岸信千世,,,,
P142,岸田 文雄,自民党,広島1,現職,https://ja.wikipedia.org/wiki/%E5%B2%B8%E7%94%B0%E6%96%87%E9%9B%84,https://x.com/kishida230,,,
P143,喜多 義典,日本維新の会,比例・中国,現職,https://ja.wikipedia.org/wiki/喜多義典,,,,
P144,北神 圭朗,自民党,京都4,現職,https://ja.wikipedia.org/wiki/%E5%8C%97%E7%A5%9E%E5%9C%AD%E6%9C%97,https://x.com/kitagamikeiro,,,
P145,木下 敏之,参政党,比例・九州,現職,https://ja.wikipedia.org/wiki/木下敏之,,,,
P146,木原 誠二,自民党,東京20,現職,https://ja.wikipedia.org/wiki/%E6%9C%A8%E5%8E%9F%E8%AA%A0%E4%BA%8C,https://x.com/kihara_seiji,,,
P147,木原 稔,自民党,熊本1,現職,https://ja.wikipedia.org/wiki/%E6%9C%A8%E5%8E%9F%E7%A8%94,https://x.com/kihara_minoru,,,
P148,木村 次郎,自民党,青森3,現職,https://ja.wikipedia.org/wiki/%E6%9C%A8%E6%9D%91%E6%AC%A1%E9%83%8E,https://x.com/jiro_kimura_,,,
P149,金城 泰邦,中道改革連合,比例・九州,現職,https://ja.wikipedia.org/wiki/金城泰邦,,,,
P150,草間 剛,自民党,神奈川19,現職,https://ja.wikipedia.org/wiki/草間剛,,,,
P151,工藤 彰三,自民党,愛知4,現職,https://ja.wikipedia.org/wiki/%E5%B7%A5%E8%97%A4%E5%BD%B0%E4%B8%89,https://x.com/kudoshozo_aichi,,,
P152,工藤 聖子,参政党,比例・南関東,現職,https://ja.wikipedia.org/wiki/工藤聖子,,,,
P153,国定 勇人,自民党,新潟2,現職,https://ja.wikipedia.org/wiki/%E5%9B%BD%E5%AE%9A%E5%8B%87%E4%BA%BA,https://x.com/kunisadaisato,,,
P154,國重 徹,中道改革連合,比例・近畿,現職,https://ja.wikipedia.org/wiki/%E5%9C%8B%E9%87%8D%E5%BE%B9,https://x.com/ToruKunishige,,,
P155,国光 あやの,自民党,茨城6,現職,https://ja.wikipedia.org/wiki/%E5%9B%BD%E5%85%89%E6%96%87%E4%B9%83,https://x.com/ayano_kunimitsu,,,
P156,熊田 裕通,自民党,比例・東海,現職,https://ja.wikipedia.org/wiki/%E7%86%8A%E7%94%B0%E8%A3%95%E9%80%9A,https://x.com/kumada_aichi1,,,
P157,栗原 渉,自民党,福岡5,現職,https://ja.wikipedia.org/wiki/栗原渉,,,,
P158,黒崎 祐一,自民党,東京27,現職,https://ja.wikipedia.org/wiki/黒崎祐一,,,,
P159,黒田 征樹,日本維新の会,大阪16,現職,https://ja.wikipedia.org/wiki/黒田征樹,,,,
P160,小池 正昭,自民党,千葉10,現職,https://ja.wikipedia.org/wiki/小池正昭,,,,
